condition,scenario,method,param,attack,side,n_clusters,n_trajectories,hit,hit_low,hit_high,error_cells,error_cells_low,error_cells_high,error_m,error_m_low,error_m_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,covered95,covered95_low,covered95_high,credible95,credible95_low,credible95_high,entropy,entropy_low,entropy_high,prior_hit,prior_hit_low,prior_hit_high,raw_completion,raw_completion_low,raw_completion_high,coverage,coverage_low,coverage_high,reward,reward_low,reward_high,latency_slots,latency_slots_low,latency_slots_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,ece,ece_low,ece_high,utility,utility_low,utility_high
walk_adaptive_bsp_0.2,walk,bsp,0.2,adaptive,8.0,20,80,0.10689619899135083,0.07870783448810596,0.1387609942645304,2.3174774045812674,2.1135107840128287,2.5330684160922625,2317.4774045812674,2113.5107840128285,2533.0684160922624,0.10127195770895318,0.09794508963856738,0.10502344154307999,3.1918867252373575,3.0719085003100335,3.313902271288211,0.9481770833333332,0.9302083333333334,0.965625,29.831250000000004,28.618632812499996,31.03813151041666,4.601856374140779,4.537800022564459,4.660760936400888,0.015625,0.015625,0.015625,0.06902534421495847,0.05853556968955978,0.08032336136257862,0.7924305555555556,0.708734375,0.866875,2.4875,2.1,2.8875,1.0,1.0,1.0,16.5617375,16.51697453125,16.611694062499996,17.861506874999996,17.593118015625006,18.265252249999996,0.10180570228348307,0.08295809562125432,0.12368812973021144,0.7107142857142856,0.6428510063819343,0.7672769556025371
walk_adaptive_bsp_0.4,walk,bsp,0.4,adaptive,8.0,20,80,0.13188621252226182,0.11061370561788798,0.15577570052099837,2.19716500273153,2.0527544022412236,2.3451873106134626,2197.1650027315304,2052.7544022412235,2345.1873106134626,0.12639990883464786,0.11824738471870469,0.13406018186190125,3.080003437020526,2.9770351467017044,3.185421939124563,0.95625,0.9450520833333333,0.9666666666666666,27.86484375,26.394121093750005,29.384147135416665,4.422855089574481,4.336817494864751,4.515720177745188,0.015625,0.015625,0.015625,0.08554021426286836,0.07231580045673465,0.09877923374526111,0.901597222222222,0.852982638888889,0.9454270833333333,3.075,2.6,3.55,1.0,1.0,1.0,16.77715625,16.728516406249998,16.83285796875,18.271496875,18.021301390625,18.570934968750002,0.11642409812322259,0.10324322844973517,0.13019938349521493,0.8785714285714287,0.8312164192696475,0.9213144028103045
commute_adaptive_none_1,commute,none,1.0,adaptive,8.0,20,80,0.07810824419069856,0.06837981801890504,0.08806250823117043,2.7127016091999696,2.5989606084368453,2.8336541382399654,2712.7016091999694,2598.9606084368456,2833.6541382399664,0.1341727331244847,0.12544755079677924,0.14301751993815295,4.153571049133048,4.056793817981578,4.2442051808635455,0.7835937499999999,0.7692708333333333,0.7986979166666666,28.37682291666666,27.132330729166668,29.759667968749998,4.440459102904862,4.3598542253016035,4.5259303379211735,0.015625,0.015625,0.015625,0.08919354094645833,0.07719021450878463,0.10296304211433834,1.0,1.0,1.0,3.2375,2.8125,3.7378124999999995,1.0,1.0,1.0,2.1692625,2.1539240625000002,2.1838867187499997,2.5503299999999998,2.499432359375001,2.6057259218749995,0.08110799866631438,0.07538577652376008,0.08726706515693819,1.0,1.0,1.0
commute_adaptive_random_0.15,commute,random,0.15,adaptive,8.0,20,80,0.020122425903765652,0.014767580508254694,0.025136459654274808,3.947058303052857,3.724707528212158,4.176861945362262,3947.058303052857,3724.7075282121577,4176.861945362262,0.03394958012266149,0.030754397418226886,0.03721703372096347,4.239386636279326,4.160879113799049,4.320579160895398,0.8997395833333334,0.878125,0.9213606770833335,52.26979166666668,51.017871093749996,53.461634114583326,5.673054496901944,5.625678386319834,5.7220846436574595,0.015625,0.015625,0.015625,0.015184274123333253,0.01102894163602003,0.019774304501453403,0.2181944444444444,0.1577690972222222,0.27743402777777776,0.55,0.4,0.7125,1.0,1.0,1.0,2.2627062500000004,2.22524171875,2.29710015625,2.7066918749999997,2.639249796875,2.7796739687499996,0.02677057214495728,0.023446253048016213,0.02990310262099737,0.1698841698841699,0.12851132155079464,0.20785067873303165
commute_adaptive_random_0.3,commute,random,0.3,adaptive,8.0,20,80,0.03673994693399081,0.0290259626415857,0.04521269861794007,3.484742092015651,3.314830437321909,3.6787955161639325,3484.74209201565,3314.8304373219094,3678.795516163934,0.050621631291367354,0.04417430197414484,0.058255690677185654,4.2373914184485715,4.110705303472368,4.36699347964476,0.8708333333333333,0.8447916666666666,0.8953125,45.78255208333333,43.41333984375,48.0328515625,5.409078985571112,5.302803833601386,5.508882164653696,0.015625,0.015625,0.015625,0.03062248226854595,0.023599105743711227,0.037446133183189956,0.40694444444444444,0.312875,0.4911197916666667,1.1125,0.8625,1.3625,1.0,1.0,1.0,2.19424375,2.16212515625,2.2351662499999994,2.6455699999999998,2.5285431875,2.783881234375,0.03914253481483327,0.03326406601795263,0.045215616246883965,0.34362934362934366,0.26951356423078177,0.41954528206425495
commute_adaptive_random_0.5,commute,random,0.5,adaptive,8.0,20,80,0.0476096437707023,0.03829996972043744,0.05793263236992287,3.3120241789193763,3.0849355922824095,3.557895164515444,3312.024178919376,3084.9355922824097,3557.895164515445,0.077030017332876,0.07016224304612977,0.08447646081732346,4.32386943130266,4.1936281320845445,4.4493526388947915,0.8184895833333334,0.7973958333333333,0.8411458333333333,38.401822916666674,36.39322265625,40.20783854166667,5.039446782715682,4.936964069554035,5.130923136378334,0.015625,0.015625,0.015625,0.04515259790839861,0.03690906739629095,0.05348009338213507,0.5659722222222221,0.4781753472222222,0.6452777777777776,1.6375,1.325,1.9378124999999997,1.0,1.0,1.0,2.1720875000000004,2.1660967187500004,2.1782754687500003,2.5201475,2.488293515625,2.5594785937499998,0.05397922076538181,0.048477768040311585,0.05979842070910951,0.5057915057915058,0.4325186635740269,0.5696881403688525
commute_adaptive_random_0.7,commute,random,0.7,adaptive,8.0,20,80,0.05514893083635656,0.04658087562833912,0.06375138506783445,3.1166085642247103,2.9585602346044984,3.2849625642516718,3116.608564224711,2958.560234604499,3284.962564251673,0.09961360848320176,0.0928181364376489,0.10691885490422243,4.256757967388623,4.142444462078725,4.3662595872919185,0.79609375,0.7783854166666667,0.8132942708333333,33.47708333333334,31.888750000000005,34.998059895833336,4.780581497830639,4.695692934951683,4.860794925464492,0.015625,0.015625,0.015625,0.060894097450620174,0.052315543689721675,0.06974680509904728,0.7268055555555555,0.634220486111111,0.8063315972222221,2.2125,1.8875,2.5375,1.0,1.0,1.0,2.1601375000000003,2.1510807812499997,2.169538125,2.5409725,2.49697753125,2.587351124999999,0.06241630591115536,0.05694849504133121,0.06831872523489319,0.6833976833976834,0.6204199650457489,0.7488835424329453
commute_adaptive_bsp_0.05,commute,bsp,0.05,adaptive,8.0,20,80,0.028172445953207677,0.020079524933345735,0.0364986414026331,3.774769498891787,3.5927134127929103,3.9831536074835006,3774.7694988917874,3592.7134127929094,3983.1536074834985,0.039605968545929106,0.03894445012579074,0.040261323823015074,4.183551457411741,4.048889673286967,4.337934060168769,0.8632812500000002,0.83203125,0.8901041666666666,41.23125000000001,40.14034505208333,42.403378906250005,5.351527544919469,5.315729123890737,5.3899356326367185,0.015625,0.015625,0.015625,0.027969863969675008,0.02207681370124163,0.03461547607020251,0.3770833333333333,0.29854166666666665,0.45479513888888884,1.025,0.8125,1.2625,1.0,1.0,1.0,16.839012500000003,16.624173906249997,17.088995312499996,18.944938125,18.210460546874998,19.78858715625,0.03242896733228115,0.029406427691860994,0.035396767047014235,0.3166023166023166,0.2633537565287264,0.3701932251908397
commute_adaptive_bsp_0.1,commute,bsp,0.1,adaptive,8.0,20,80,0.038753608677925086,0.03083002710090112,0.048018145525896984,3.334506332897491,3.158208037627118,3.479798657437967,3334.506332897491,3158.2080376271183,3479.7986574379665,0.0666695827330301,0.06373067536661194,0.06944141137272793,4.136482664484188,4.013556321237636,4.253516366802125,0.8247395833333334,0.7994791666666665,0.8489648437499999,35.055729166666666,33.58125,36.62555338541666,4.988551662115762,4.923005288564119,5.05350682640965,0.015625,0.015625,0.015625,0.04862862166246661,0.040222123782108904,0.058022394300779594,0.6124305555555556,0.5323350694444444,0.6916701388888888,1.7625,1.4621875,2.1,1.0,1.0,1.0,16.8883375,16.8313121875,16.95369546875,18.302765,18.100507234375,18.5204463125,0.04530691189186874,0.040725589370098306,0.04954607280710181,0.5444015444015444,0.4828763140237083,0.6050554086176303
commute_adaptive_bsp_0.2,commute,bsp,0.2,adaptive,8.0,20,80,0.053890327427925086,0.04699898533089451,0.06070569337933839,3.0116281255219652,2.911936553110434,3.1060873722345863,3011.628125521965,2911.9365531104345,3106.0873722345864,0.0959529459731063,0.08952936004734387,0.10179916501999309,4.071501936684476,3.9746609028997977,4.166326650533863,0.8283854166666667,0.8057291666666668,0.8507877604166667,32.08177083333333,30.203593750000003,34.13877604166667,4.727933520054368,4.63126146751824,4.835148137942344,0.015625,0.015625,0.015625,0.060328327400431946,0.0514889410645012,0.06969024992610058,0.7197222222222223,0.6309600694444446,0.8076701388888887,2.1875,1.8621875,2.5375,1.0,1.0,1.0,16.725524999999998,16.67424265625,16.777379843749998,18.012505,17.761361734374997,18.317119406250004,0.05495278327551982,0.0486931875754081,0.06027833128980783,0.6756756756756757,0.6283461574997624,0.7279418807752986
