hit,error_cells,peak,logloss,covered95,credible95,entropy,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,alpha_true,alpha_model,move_model
0.07163530967533303,4.149522364514394,0.045605945026031075,3.4410307109201965,1.0,48.916666666666664,5.4185200866320296,12,3,static,static_fixed_rate_4,rate,4,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.25,2.56865,0,0.6480000000000001,0.6480000000000001,0
0.08389982413419912,2.2689249882175617,0.045235132956371805,3.184247280015543,1.0,45.083333333333336,5.364751524908587,10,0,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.375,3.0374999999999996,0,0.6480000000000001,0.6480000000000001,0
0.021180555555555553,5.8823177350651115,0.051261587262043495,3.897711119978618,1.0,45.416666666666664,5.292031933080378,10,1,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.25,2.5669,0,0.6480000000000001,0.6480000000000001,0
0.005326704545454545,4.624259529314176,0.03558818243148439,4.437914290861788,1.0,43.458333333333336,5.414815437533183,10,2,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,2,1,1,0.5,0.027777777777777776,1.0,1,1.0,2.208,2.55395,0,0.6480000000000001,0.6480000000000001,0
0.015950520833333332,2.460665738822293,0.10041822966136814,3.373466073782956,0.5833333333333334,15.979166666666666,3.8340782636038866,10,3,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,7,3,3,0.42857142857142855,0.08333333333333333,1.0,3,1.0,2.2295,2.5955999999999997,0,0.6480000000000001,0.6480000000000001,0
0.056315104166666664,2.4072305241636243,0.04061520333743543,3.302342445041557,1.0,38.354166666666664,5.210115093161275,11,0,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,2.125,2.78925,0,0.6480000000000001,0.6480000000000001,0
0.1108783143939394,2.686149196698702,0.10473964888366831,2.8421098921727794,1.0,31.8125,4.288339906013261,11,1,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.2085,2.625,0,0.6480000000000001,0.6480000000000001,0
0.035215435606060594,3.520730356892585,0.03347259658053439,3.6104820720613877,0.9583333333333334,42.1875,5.331886520299878,11,2,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,2,2,3,1.0,0.05555555555555555,1.0,2,1.0,2.1665,2.7455,0,0.6480000000000001,0.6480000000000001,0
0.07501311622405377,1.9998878718998168,0.06900191375717975,2.7638876381560213,1.0,19.583333333333332,4.118347551816568,11,3,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,6,4,4,0.6666666666666666,0.1111111111111111,1.0,4,1.0,2.229,2.5683000000000002,0,0.6480000000000001,0.6480000000000001,0
0.14440104166666667,1.6407098973473186,0.0954347427493767,2.4706528559986807,1.0,18.291666666666668,3.9947338763884486,12,0,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,5,3,4,0.6,0.08333333333333333,1.0,3,1.0,2.208,2.8459499999999998,0,0.6480000000000001,0.6480000000000001,0
0.22395833333333334,1.1592616901474675,0.06787568748479196,2.7448831665061815,1.0,41.479166666666664,5.218449767101464,12,1,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.209,2.52665,0,0.6480000000000001,0.6480000000000001,0
0.04547427398989897,3.3842430032869557,0.043193299776715065,3.445800123838604,1.0,39.916666666666664,5.027670815405782,12,2,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,5,2,3,0.4,0.05555555555555555,1.0,2,1.0,2.208,2.6103,0,0.6480000000000001,0.6480000000000001,0
0.08003472222222223,2.408057960177354,0.053295729858460844,3.019619436057736,1.0,29.083333333333332,4.808974156846764,12,3,static,static_fixed_coarse_2,coarse,2,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,2.1045,2.52665,0,0.6480000000000001,0.6480000000000001,0
0.16701388888888888,1.7275474672272335,0.05768493195373173,2.990104821166651,1.0,44.333333333333336,5.318313184212256,10,0,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,8.667,12.166649999999997,0,0.6480000000000001,0.6480000000000001,0
0.09433903769841272,3.0965784330233923,0.059756542728593744,2.920786342787411,1.0,27.6875,4.6286992292314855,10,1,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,8.6045,9.2479,0,0.6480000000000001,0.6480000000000001,0
0.056175595238095226,3.2157271068363937,0.04233162868755324,3.3598106103612326,1.0,43.0625,5.342629299911631,10,2,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,2,2,2,1.0,0.05555555555555555,1.0,2,1.0,8.5205,9.2329,0,0.6480000000000001,0.6480000000000001,0
0.07806299603174609,1.723132937667715,0.07806299603174609,2.5709396433924425,1.0,13.625,3.7090818739471185,10,3,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,7,5,5,0.7142857142857143,0.1388888888888889,1.0,5,1.0,8.5,9.0956,0,0.6480000000000001,0.6480000000000001,0
0.04749813988095238,2.492630582596926,0.03855453322509223,3.322773951630199,1.0,36.854166666666664,5.1776513158263455,11,0,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,3,3,3,1.0,0.08333333333333333,1.0,3,1.0,8.4795,9.104049999999999,0,0.6480000000000001,0.6480000000000001,0
0.0028211805555555555,5.140358437270552,0.07091666999763362,3.6910505480891245,1.0,42.4375,5.259475790172445,11,1,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,8.5625,9.1079,0,0.6480000000000001,0.6480000000000001,0
0.034939236111111105,3.5553369090558413,0.03321053571364396,3.623366840555315,0.9583333333333334,42.729166666666664,5.352406929909833,11,2,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,2,2,3,1.0,0.05555555555555555,1.0,2,1.0,8.4165,9.125,0,0.6480000000000001,0.6480000000000001,0
0.162109375,1.6073715362792431,0.08988174854085607,2.5715137597708426,1.0,21.0625,4.14511125950863,11,3,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,6,5,5,0.8333333333333334,0.1388888888888889,1.0,5,1.0,8.5,9.125,0,0.6480000000000001,0.6480000000000001,0
0.07009548611111115,1.9727443735301733,0.07009548611111115,2.737475402769457,1.0,17.395833333333332,3.949342188131015,12,0,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,5,4,6,0.8,0.1111111111111111,1.0,4,1.0,8.4795,9.083,0,0.6480000000000001,0.6480000000000001,0
0.14583333333333326,2.7392160687000584,0.05003910234054565,3.0278550632565646,1.0,43.395833333333336,5.379663345455026,12,1,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,8.4795,9.558549999999999,0,0.6480000000000001,0.6480000000000001,0
0.003472222222222222,3.3111706170163693,0.0879723184500899,3.4376727812214782,1.0,25.520833333333332,4.551832866161934,12,2,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,5,4,4,0.8,0.1111111111111111,1.0,4,1.0,8.5,9.2455,0,0.6480000000000001,0.6480000000000001,0
0.055989583333333336,2.952677593485589,0.04553915485695512,3.2214502074462357,1.0,31.375,4.929789327744145,12,3,static,static_fixed_positive_only_0.1,positive_only,0.1,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,8.459,9.175099999999999,0,0.6480000000000001,0.6480000000000001,0
0.016189236111111116,4.100783453476477,0.03241930678829719,3.7082347217346014,1.0,47.354166666666664,5.521033170304964,10,0,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,3,2,3,0.6666666666666666,0.05555555555555555,1.0,2,1.0,17.0835,19.33915,0,0.6480000000000001,0.6480000000000001,0
0.0375434027777778,3.4356495761706594,0.03858506944444447,3.3012613939926063,1.0,27.75,4.7617607712240435,10,1,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,16.917,18.04595,0,0.6480000000000001,0.6480000000000001,0
0.0547236689814815,3.1532939694748428,0.03060517707452803,3.5502511848689378,1.0,47.3125,5.523298625357739,10,2,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,2,1,1,0.5,0.027777777777777776,1.0,1,1.0,16.7295,17.9851,0,0.6480000000000001,0.6480000000000001,0
0.04525669642857144,1.963283518475989,0.04321704057414107,3.1871960069906504,1.0,27.208333333333332,4.676806364099334,10,3,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,7,2,3,0.2857142857142857,0.05555555555555555,1.0,2,1.0,16.708,17.6646,0,0.6480000000000001,0.6480000000000001,0
0.01543898809523809,2.8943662156241547,0.036332967292999334,3.663099150344515,1.0,48.375,5.5080733686535455,11,0,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,3,2,2,0.6666666666666666,0.05555555555555555,1.0,2,1.0,16.6665,17.34145,0,0.6480000000000001,0.6480000000000001,0
0.0028211805555555555,5.634799854978834,0.0405627264492754,4.130157364868567,1.0,47.041666666666664,5.5037409221716915,11,1,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,3,1,1,0.3333333333333333,0.027777777777777776,1.0,1,1.0,16.6455,17.96885,0,0.6480000000000001,0.6480000000000001,0
0.020117187500000012,4.252218162200557,0.018028349983487457,4.025486904452843,0.4791666666666667,59.5625,5.933411032693236,11,2,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,2,1,2,0.5,0.027777777777777776,1.0,1,1.0,16.7295,17.7749,0,0.6480000000000001,0.6480000000000001,0
0.033528645833333336,3.1006028340537157,0.03230637323522777,3.8539283996395626,1.0,47.791666666666664,5.482687987238979,11,3,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,6,3,3,0.5,0.08333333333333333,1.0,3,1.0,16.4585,17.81655,0,0.6480000000000001,0.6480000000000001,0
0.03971354166666669,2.7474558167808376,0.03971354166666669,3.2478028484134343,1.0,25.541666666666668,4.685589063191111,12,0,static,static_fixed_bsp_0.05,bsp,0.05,fixed,8,0.015625,36,5,3,3,0.6,0.08333333333333333,1.0,3,1.0,16.75,18.1772,0,0.6480000000000001,0.6480000000000001,0
