hit,error_cells,peak,logloss,covered95,credible95,entropy,ece,error_m,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,alpha_true,alpha_model,move_model
0.0,4.928128373145982,0.06890033735908169,4.689134647092636,1.0,41.916666666666664,5.166425400948807,0.06890033735908169,4928.128373145986,1000,0,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,34,7,0,2,0.0,0.0,0.0,0,1.0,376.416,441.63125,0,0.6480000000000001,0.6480000000000001,0
0.004231770833333333,3.784095943038633,0.05103100094109708,4.70499003029441,1.0,53.5625,5.490203161164746,0.04679923010776375,3784.095943038628,1000,1,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,40,2,1,4,0.5,0.025,1.0,1,1.0,334.5205,346.3728,0,0.6480000000000001,0.6480000000000001,0
0.08734809027777779,3.683537029177645,0.05304533887222948,3.0420858207267063,1.0,32.375,4.8684311201564485,0.03430275140554831,3683.537029177638,1000,2,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,36,3,0,7,0.0,0.0,0.0,0,1.0,333.66700000000003,338.70395,0,0.6480000000000001,0.6480000000000001,0
0.0073660714285714276,3.0328138909004316,0.07309920453755094,3.612607596939234,1.0,30.8125,4.718916689358113,0.06573313310897948,3032.81389090043,1000,3,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,31,3,0,6,0.0,0.0,0.0,0,1.0,333.0415,340.74155,0,0.6480000000000001,0.6480000000000001,0
0.08403087797619047,2.988931122036909,0.08067198902929097,3.0361970026835543,1.0,31.354166666666668,4.744383005707641,0.014604744467820124,2988.9311220369095,1001,0,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,35,1,0,7,0.0,0.0,0.0,0,1.0,333.64599999999996,346.4169,0,0.6480000000000001,0.6480000000000001,0
0.0013020833333333333,3.5345671928769673,0.05117188057812901,4.496596650885253,1.0,39.9375,5.1681392509672035,0.04986979724479568,3534.567192876966,1001,1,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,34,5,0,5,0.0,0.0,0.0,0,1.0,333.10400000000004,337.40855,0,0.6480000000000001,0.6480000000000001,0
0.08133370535714286,5.231467926420994,0.0742280719284403,3.4299374666718356,1.0,41.0,5.178799720314243,0.05338254926258098,5231.46792642099,1001,2,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,36,4,3,10,0.75,0.08333333333333333,1.0,3,1.0,333.27099999999996,337.73575,0,0.6480000000000001,0.6480000000000001,0
0.080026455026455,3.9242747337212784,0.07463351672130718,3.033847641618149,1.0,30.479166666666668,4.742381989458294,0.03598625346438867,3924.274733721278,1001,3,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,32,5,2,7,0.4,0.0625,1.0,2,1.0,333.1875,336.1933,0,0.6480000000000001,0.6480000000000001,0
0.058314732142857144,2.6185751589932664,0.08076748402718371,3.2288521831016603,1.0,45.6875,5.329139076620479,0.06929469686253657,2618.575158993266,1002,0,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,43,5,2,5,0.4,0.046511627906976744,1.0,2,1.0,334.35450000000003,345.3148,0,0.6480000000000001,0.6480000000000001,0
0.08485863095238096,3.7300348619139103,0.059411557399306626,3.097554505457691,1.0,32.645833333333336,4.8327179790145705,0.025447073553074333,3730.034861913915,1002,1,static,static_adaptive_kl_0.25,kl,0.25,adaptive,8,0.015625,35,6,2,6,0.3333333333333333,0.05714285714285714,1.0,2,1.0,334.0625,339.2206,0,0.6480000000000001,0.6480000000000001,0
