condition,mismatch,method,param,n_seeds,n_trajectories,robust_model_count,hit,hit_low,hit_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,utility,utility_low,utility_high,raw_completion,raw_completion_low,raw_completion_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,attacker_local_violation_rate,attacker_local_violation_rate_low,attacker_local_violation_rate_high,attacker_absolute_violation_rate,attacker_absolute_violation_rate_low,attacker_absolute_violation_rate_high,client_violation_rate,client_violation_rate_low,client_violation_rate_high
robust_alpha_low_bsp_0.4,alpha_low,bsp,0.4,20,80,0,0.11646768743638583,0.09215912119971623,0.1422659759310562,0.12813211820656953,0.12045206865447566,0.1364320024633745,3.063840731399816,2.975440618761681,3.1560761822149086,0.8736462093862816,0.8438496561014469,0.9055960548885077,0.08287752685517344,0.07474189261445814,0.091784319666281,50.99029375,50.8035334375,51.16530609375,0.011458333333333333,0.00703125,0.016145833333333335,0.012760416666666666,0.0078125,0.01796875,0.0,0.0,0.0
robust_alpha_low_rbsp_0.4,alpha_low,rbsp,0.4,20,80,9,0.09615518743638583,0.07087873209670628,0.12757613002815424,0.10533127126666772,0.09911925322522752,0.11366817831501798,3.196055398263775,3.091658982059143,3.290535023059714,0.7184115523465704,0.6892637163561076,0.75,0.06827726364820527,0.06179179328604336,0.07521506172767521,421.4195125,419.1413254687499,423.62827875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_high_bsp_0.05,alpha_high,bsp,0.05,20,80,0,0.04513018249834656,0.03489429808924438,0.05615297896773727,0.03799208386790655,0.03677212501596951,0.03939574385249354,3.7200372285776284,3.649502308208026,3.782317098281816,0.26353790613718414,0.2155927666369967,0.31482905982905984,0.024846519023507575,0.01983281536267828,0.02966709357837837,50.9002375,50.741642031249995,51.072788124999995,0.03984375,0.0296875,0.050520833333333334,0.0921875,0.061197916666666664,0.12657552083333332,0.0,0.0,0.0
robust_alpha_high_rbsp_0.05,alpha_high,rbsp,0.05,20,80,9,0.031140382151124336,0.021769915222490905,0.0411305687313988,0.03169784121935536,0.030692626921977446,0.032939055715571576,3.801315655005837,3.7369202256055676,3.854007055305513,0.19494584837545126,0.14538435140700068,0.25,0.018222071644920557,0.013358042506643268,0.0232734948776772,427.02885625,425.0194996875,429.08967515624994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_high_bsp_0.1,alpha_high,bsp,0.1,20,80,0,0.047465213834291455,0.03328047088384868,0.06446014395773603,0.06300566009014599,0.06089950771883057,0.06530578676572002,3.475147075193216,3.3933620855993714,3.5563964574275224,0.4729241877256318,0.4025052777411268,0.5398586956521738,0.04446724754463684,0.036761308841043255,0.05181473688887842,51.004425,50.86526765625,51.13243296875,0.026041666666666668,0.017708333333333333,0.034902343749999995,0.05859375,0.037760416666666664,0.07995442708333332,0.0,0.0,0.0
robust_alpha_high_rbsp_0.1,alpha_high,rbsp,0.1,20,80,9,0.03467224508429146,0.02628912814529978,0.04392625247428714,0.050590346057622596,0.04813660943920885,0.053303710005325876,3.5731888537790333,3.4915256960303465,3.6473533981627604,0.3971119133574007,0.3224616259872384,0.47213239138011154,0.03697944941868316,0.03026289890253386,0.043421407968179886,424.2603312499999,422.18387828125003,426.0831521875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_high_bsp_0.2,alpha_high,bsp,0.2,20,80,0,0.08064969889133511,0.06326578184431834,0.10510222606424842,0.08913060640635054,0.08438608804949665,0.0947648505168883,3.2653300873406104,3.179304875571078,3.339188284502661,0.6462093862815884,0.6050575924724205,0.684564359770032,0.06092117019709059,0.054033245801809564,0.06799216107695265,51.08666875,50.936322656250006,51.23770125,0.003125,0.0010416666666666667,0.005208333333333333,0.0049479166666666664,0.0015625,0.008854166666666666,0.0,0.0,0.0
robust_alpha_high_rbsp_0.2,alpha_high,rbsp,0.2,20,80,9,0.07271784125244621,0.0509459284324121,0.09838342697777355,0.07470019285479115,0.07051281944754041,0.07918091419463086,3.343258269367861,3.237193951226963,3.439727273577092,0.555956678700361,0.48619201190771516,0.6237038821755998,0.05274092808504553,0.045803224884309136,0.06001449349567326,422.92386874999994,420.73249421875,425.26847562500006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_alpha_high_bsp_0.4,alpha_high,bsp,0.4,20,80,0,0.11145466660305248,0.08745919930399747,0.13538472052597564,0.12730687531651208,0.11873904072022132,0.13663037750362036,3.0660791315611036,2.9561385479484232,3.171116728330658,0.8447653429602888,0.8142140195786759,0.8711889578788388,0.08001414612182131,0.07168678635494685,0.08795381945927336,50.85839375,50.6850625,51.03213125,0.00026041666666666666,0.0,0.00078125,0.00026041666666666666,0.0,0.00078125,0.0,0.0,0.0
robust_alpha_high_rbsp_0.4,alpha_high,rbsp,0.4,20,80,9,0.09615518743638583,0.07087873209670628,0.12757613002815424,0.10533127126666772,0.09911925322522752,0.11366817831501798,3.196055398263775,3.091658982059143,3.290535023059714,0.7184115523465704,0.6892637163561076,0.75,0.06827726364820527,0.06179179328604336,0.07521506172767521,422.89785625,420.38488249999995,425.69737453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_move_low_bsp_0.05,move_low,bsp,0.05,20,80,0,0.03447673817791005,0.025101276054584162,0.04559177814463458,0.038223222718509656,0.03712835784819443,0.0397577251615424,3.7232252681104243,3.6464130810292135,3.8020456088899075,0.26353790613718414,0.20071622576924508,0.32642916666666666,0.02483387529956354,0.0182090307447641,0.03109898821125389,51.27563124999999,51.088618437499996,51.46745671875001,0.037760416666666664,0.02994140625,0.0453125,0.0859375,0.06432291666666666,0.10781901041666667,0.0,0.0,0.0
