hit,error_cells,peak,logloss,covered95,credible95,entropy,ece,error_m,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,attacker_local_cap_violations,attacker_absolute_cap_violations,robust_model_count,alpha_true,alpha_model,move_model
0.021484375,2.513189709369604,0.04282095546893039,3.399796275208406,1.0,42.6875,5.416533823743578,0.02133658046893039,2513.189709369606,3000,0,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,32,4,1,8,0.25,0.03125,0.3333333333333333,1,1.0,52.608,73.06819999999998,0,0,0,0,0.6480000000000001,0.648,0.3
0.20195312499999998,1.4461871287432686,0.042909805919619425,3.285101616035877,1.0,38.229166666666664,5.277462407195417,0.15904331908038058,1446.1871287432687,3000,1,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,35,5,1,9,0.2,0.02857142857142857,0.3333333333333333,1,1.0,50.769999999999996,55.2088,0,0,0,0,0.6480000000000001,0.648,0.3
0.0677765376984127,1.660464585911014,0.04463346778050937,3.1613013139942248,1.0,31.958333333333332,5.0471132467164175,0.023143069917903325,1660.464585911014,3000,2,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,41,8,3,8,0.375,0.07317073170731707,0.5,3,1.0,74.725,99.22435,0,0,0,0,0.6480000000000001,0.648,0.3
0.001171875,4.332580494600738,0.0353855423998806,4.042392997369423,0.9166666666666666,45.4375,5.503000054889729,0.034213667399880604,4332.580494600738,3000,3,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,38,1,0,4,0.0,0.0,0.0,0,1.0,75.03,103.18195,0,0,0,0,0.6480000000000001,0.648,0.3
0.0666015625,2.3721966702809305,0.038107344828290604,3.426443084395642,1.0,43.875,5.451848217446027,0.028494217671709395,2372.1966702809323,3001,0,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,38,5,2,8,0.4,0.05263157894736842,0.5,2,1.0,53.6455,83.97905,0,0,0,0,0.6480000000000001,0.648,0.3
0.0026909722222222218,3.281279162486175,0.041209720464131516,3.745487580754965,1.0,43.416666666666664,5.440931047608046,0.0385187482419093,3281.2791624861748,3001,1,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,33,4,1,9,0.25,0.030303030303030304,0.25,1,1.0,53.605000000000004,79.50914999999999,0,0,0,0,0.6480000000000001,0.648,0.3
0.005729166666666667,4.880903790464825,0.039599292421314054,4.7489993665398655,0.7708333333333334,43.479166666666664,5.382004873191099,0.033870125754647394,4880.903790464826,3001,2,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,34,7,1,3,0.14285714285714285,0.029411764705882353,0.25,1,1.0,51.967,76.46355,0,0,0,0,0.6480000000000001,0.648,0.3
0.044921875,3.6559216774249683,0.040857082816177816,3.4418404098722957,0.9791666666666666,33.416666666666664,5.081712142275591,0.004064792183822187,3655.9216774249685,3001,3,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,40,3,1,5,0.3333333333333333,0.025,0.3333333333333333,1,1.0,50.635,64.48015,0,0,0,0,0.6480000000000001,0.648,0.3
0.0034505208333333332,4.290973865524499,0.03834877424394923,3.849690246909534,0.9791666666666666,44.958333333333336,5.495372031982348,0.0348982534106159,4290.973865524501,3002,0,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,40,5,2,4,0.4,0.05,0.5,2,1.0,50.8605,75.62445,0,0,0,0,0.6480000000000001,0.648,0.3
0.002495659722222222,3.414698946068318,0.04143235676658339,3.7295178618633753,1.0,31.6875,5.002581930773914,0.03893669704436117,3414.6989460683185,3002,1,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,32,5,1,13,0.2,0.03125,0.3333333333333333,1,1.0,51.987,67.23964999999997,0,0,0,0,0.6480000000000001,0.648,0.3
0.012090773809523808,3.3735081961411555,0.043200606170624906,3.3289295574003024,1.0,39.416666666666664,5.323823563534813,0.031109832361101097,3373.5081961411556,3002,2,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,35,5,2,9,0.4,0.05714285714285714,0.5,2,1.0,54.3765,100.18365,0,0,0,0,0.6480000000000001,0.648,0.3
0.03665364583333333,3.1098235555325613,0.03545026300086166,3.745057495379147,1.0,42.333333333333336,5.429084041068339,0.0012033828324716684,3109.823555532561,3002,3,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,41,2,0,5,0.0,0.0,0.0,0,1.0,50.485,61.5026,0,0,0,0,0.6480000000000001,0.648,0.3
0.14976438492063493,1.8606734561566787,0.040106291182058405,3.3546565813364033,1.0,39.083333333333336,5.312540217512851,0.10965809373857653,1860.6734561566789,3003,0,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,40,6,4,8,0.6666666666666666,0.1,0.6,4,1.0,50.483999999999995,69.86374999999998,0,0,0,0,0.6480000000000001,0.648,0.3
0.07430555555555556,3.057516699578196,0.04047647763459322,3.3246191148099165,0.9583333333333334,32.916666666666664,5.050313373978448,0.033829077920962326,3057.516699578196,3003,1,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,37,2,0,6,0.0,0.0,0.0,0,1.0,51.326499999999996,78.682,0,0,0,0,0.6480000000000001,0.648,0.3
0.005425347222222221,3.027386446899266,0.03744403665685271,3.665602992549361,1.0,44.270833333333336,5.488043072938434,0.03201868943463049,3027.3864468992656,3003,2,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,43,4,1,4,0.25,0.023255813953488372,0.3333333333333333,1,1.0,50.6445,75.7911,0,0,0,0,0.6480000000000001,0.648,0.3
0.0003255208333333333,3.867920045963658,0.044593810534180156,4.3104676714279035,0.6666666666666666,46.854166666666664,5.517492473467258,0.04426828970084682,3867.9200459636563,3003,3,walk,robust_nominal_bsp_0.05,bsp,0.05,adaptive,8,0.015625,30,6,1,5,0.16666666666666666,0.03333333333333333,0.25,1,1.0,52.587999999999994,73.10714999999999,0,0,0,0,0.6480000000000001,0.648,0.3
