hit,error_cells,peak,logloss,covered95,credible95,entropy,ece,error_m,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,alpha_true,alpha_model,move_model
0.27226109529833437,1.3839618228068684,0.16565508566083115,2.5127635756611384,0.9791666666666666,22.645833333333332,4.042185056382038,0.130744531337828,1383.9618228068691,2000,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,34,2,2,8,1.0,0.058823529411764705,1.0,2,1.0,2.25,5.6897999999999955,0,0.6480000000000001,0.3,0.3
0.16774354360299357,1.8085080881369928,0.19601368380502024,2.8620778771117146,1.0,27.6875,4.157076034625365,0.11116584704727495,1808.5080881369934,2000,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,37,2,2,6,1.0,0.05405405405405406,1.0,2,1.0,2.25,3.0119499999999997,0,0.6480000000000001,0.3,0.3
0.14635416666666667,2.668139749506084,0.1744452762278191,2.8516992350588377,0.9791666666666666,21.604166666666668,4.04282873634771,0.12572457618166516,2668.1397495060833,2000,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,36,2,2,5,1.0,0.05555555555555555,1.0,2,1.0,2.25,2.5521999999999996,0,0.6480000000000001,0.3,0.3
0.001171875,2.505169678882522,0.0831615933851337,3.993096655995869,0.9375,37.9375,5.0028895979908965,0.08198971838513369,2505.1696788825225,2000,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,33,1,1,3,1.0,0.030303030303030304,1.0,1,1.0,2.1875,2.4709499999999998,0,0.6480000000000001,0.3,0.3
0.7294973544973544,0.5004185948048215,0.25914028542523565,1.9489543871153152,1.0,17.8125,3.571973682227745,0.49014873573878553,500.41859480482145,2001,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,37,2,2,5,1.0,0.05405405405405406,1.0,2,1.0,2.166,2.4705999999999997,0,0.6480000000000001,0.3,0.3
0.17275545634920633,1.1438735397411701,0.18534604012516978,2.4321098367972707,1.0,21.479166666666668,3.9896212822661634,0.1001416599552612,1143.8735397411697,2001,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,36,6,6,9,1.0,0.16666666666666666,1.0,6,1.0,2.208,2.4443,0,0.6480000000000001,0.3,0.3
0.125,2.0191384663118814,0.20342188326702818,2.5622196697414656,1.0,23.25,3.957372059731199,0.09069603794396802,2019.1384663118818,2001,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,37,4,4,7,1.0,0.10810810810810811,1.0,4,1.0,2.208,2.459,0,0.6480000000000001,0.3,0.3
0.18987304351565185,1.5900248810141795,0.20397514307223938,2.5431212766117732,0.9583333333333334,17.25,3.636040150152098,0.06672470619254624,1590.0248810141802,2001,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,32,3,3,9,1.0,0.09375,1.0,3,1.0,2.291,3.1999999999999993,0,0.6480000000000001,0.3,0.3
0.2708333333333333,1.877213201333188,0.23632640037999805,2.6867841228774245,0.9375,23.625,3.8850188444545566,0.05742359962000201,1877.2132013331882,2002,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,39,3,3,7,1.0,0.07692307692307693,1.0,3,1.0,2.292,3.0,0,0.6480000000000001,0.3,0.3
0.042317708333333336,1.534187822552572,0.19710321341678874,2.514363887691911,0.9583333333333334,17.458333333333332,3.6455576586539746,0.15478550508345543,1534.1878225525725,2002,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,38,5,5,9,1.0,0.13157894736842105,1.0,5,1.0,2.354,3.1226,0,0.6480000000000001,0.3,0.3
0.2508680555555556,1.3213156385403722,0.25462893702746076,2.436028490623993,0.8958333333333334,12.979166666666666,3.290822268400517,0.1449660764268095,1321.3156385403724,2002,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,33,3,3,11,1.0,0.09090909090909091,1.0,3,1.0,2.25,2.56865,0,0.6480000000000001,0.3,0.3
0.14713128306878306,2.2777736253418617,0.11000755585766664,3.212795850079472,0.9791666666666666,31.354166666666668,4.64213650296379,0.06121366908311974,2277.773625341862,2002,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,39,6,6,8,1.0,0.15384615384615385,1.0,6,1.0,2.209,2.94395,0,0.6480000000000001,0.3,0.3
0.1218584656084656,1.4159537559692408,0.2572808611669538,2.637983689129037,0.9583333333333334,16.8125,3.5005682040515733,0.16042239555848822,1415.9537559692415,2003,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,35,6,6,11,1.0,0.17142857142857143,1.0,6,1.0,2.333,2.77555,0,0.6480000000000001,0.3,0.3
0.3911458333333333,1.1330208496870948,0.27699955697553874,2.2157370027702283,1.0,15.9375,3.393844958185032,0.11414627635779462,1133.0208496870953,2003,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,35,4,4,10,1.0,0.11428571428571428,1.0,4,1.0,2.2295,2.7896,0,0.6480000000000001,0.3,0.3
0.20959105465684413,2.089518626684775,0.15559929281751972,2.8735373401982716,0.9791666666666666,30.666666666666668,4.438292875497114,0.05399176183932442,2089.5186266847763,2003,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,33,4,4,6,1.0,0.12121212121212122,1.0,4,1.0,2.291,2.8568,0,0.6480000000000001,0.3,0.3
0.006076388888888889,2.2371712353708317,0.21245519010859085,3.0178239136622413,0.9791666666666666,15.375,3.5387086599397937,0.20637880121970195,2237.1712353708303,2003,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,40,5,5,8,1.0,0.125,1.0,5,1.0,2.2085,2.6079,0,0.6480000000000001,0.3,0.3
0.12716224747474747,1.6393948391403563,0.1212405336575713,2.726206745305378,1.0,29.083333333333332,4.510416263643166,0.08321712338345953,1639.394839140358,2004,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,38,6,6,6,1.0,0.15789473684210525,1.0,6,1.0,2.1875,2.48565,0,0.6480000000000001,0.3,0.3
0.06897941468253968,1.6442211027258689,0.13721058913385356,2.9382839599763675,1.0,27.1875,4.444050358519461,0.06823117445131387,1644.2211027258707,2004,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,35,4,4,8,1.0,0.11428571428571428,1.0,4,1.0,2.209,2.6085499999999997,0,0.6480000000000001,0.3,0.3
0.020833333333333332,2.5990667218573087,0.17461013967965147,3.427139018146049,0.9375,21.3125,4.03179528257303,0.15377680634631816,2599.0667218573085,2004,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,37,4,4,7,1.0,0.10810810810810811,1.0,4,1.0,2.167,2.5,0,0.6480000000000001,0.3,0.3
0.14865319865319865,1.6269519682383817,0.24891827950478337,2.563353915140329,1.0,19.5,3.692841323324263,0.15330478446319587,1626.9519682383818,2004,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,35,4,4,7,1.0,0.11428571428571428,1.0,4,1.0,2.25,2.5,0,0.6480000000000001,0.3,0.3
0.08366402116402116,1.9253377541836896,0.11716345176133502,3.0253341918482146,1.0,33.125,4.707071566664468,0.0616929152651697,1925.3377541836899,2005,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,34,0,0,4,nan,0.0,nan,0,1.0,2.209,2.6369499999999997,0,0.6480000000000001,0.3,0.3
0.0036292989417989418,2.187122061163916,0.11488894196901374,3.0470566617783477,1.0,21.4375,4.258961761263983,0.11125964302721482,2187.1220611639164,2005,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,37,4,4,7,1.0,0.10810810810810811,1.0,4,1.0,2.2085,2.56655,0,0.6480000000000001,0.3,0.3
0.37568379517532063,2.0328847576075066,0.29192740752600194,1.9648097125898767,1.0,20.791666666666668,3.3598333535614855,0.1369863829529395,2032.8847576075068,2005,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,42,5,5,7,1.0,0.11904761904761904,1.0,5,1.0,2.208,2.4853,0,0.6480000000000001,0.3,0.3
0.14651712850865392,1.9899970488756613,0.12218934557895263,2.811793641185121,1.0,28.416666666666668,4.528766286124362,0.10157206336038511,1989.9970488756624,2005,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,38,1,1,4,1.0,0.02631578947368421,1.0,1,1.0,2.25,2.58125,0,0.6480000000000001,0.3,0.3
0.20904280904280906,2.0131899868029812,0.2024329948067842,2.759645665678741,0.9583333333333334,29.3125,4.090123269491332,0.13123494336068522,2013.1899868029823,2006,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,33,7,7,13,1.0,0.21212121212121213,1.0,7,1.0,2.208,2.45865,0,0.6480000000000001,0.3,0.3
0.10533854166666667,2.904090415609783,0.10380661106349665,3.6687054607084018,0.8958333333333334,30.520833333333332,4.681463806950403,0.13725780639087584,2904.0904156097827,2006,1,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,40,5,5,6,1.0,0.125,1.0,5,1.0,2.291,2.83125,0,0.6480000000000001,0.3,0.3
0.18385416666666665,1.411706336283773,0.110145318558179,3.0102498809231104,0.9583333333333334,31.375,4.649614534994951,0.11837913461462696,1411.7063362837732,2006,2,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,35,4,4,5,1.0,0.11428571428571428,1.0,4,1.0,2.2705,2.584,0,0.6480000000000001,0.3,0.3
0.0011004618419872658,3.300742999661999,0.07145788999257187,3.7084765360802607,1.0,40.3125,5.152450806449541,0.07035742815058461,3300.742999661999,2006,3,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,35,4,4,5,1.0,0.11428571428571428,1.0,4,1.0,2.25,2.5,0,0.6480000000000001,0.3,0.3
0.125,2.3169832472214074,0.12012205278951012,3.1623028524611385,0.9583333333333334,24.458333333333332,4.366032721678631,0.07937247473409519,2316.983247221409,2007,0,walk,informed_alpha_model_0.3_none,none,1,adaptive,8,0.015625,33,2,2,5,1.0,0.06060606060606061,1.0,2,1.0,2.208,2.4709499999999998,0,0.6480000000000001,0.3,0.3
