condition,mismatch,method,param,n_seeds,n_trajectories,robust_model_count,hit,hit_low,hit_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,utility,utility_low,utility_high,raw_completion,raw_completion_low,raw_completion_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,attacker_local_violation_rate,attacker_local_violation_rate_low,attacker_local_violation_rate_high,attacker_absolute_violation_rate,attacker_absolute_violation_rate_low,attacker_absolute_violation_rate_high,client_violation_rate,client_violation_rate_low,client_violation_rate_high
boundary_alpha_mid_unlisted_bsp,alpha_mid_unlisted,bsp,0.1,20,80,0,0.059201941757605826,0.03814925950469163,0.08385088530040923,0.061638213126284494,0.05830490632320836,0.06470452212990584,3.444484930614339,3.334830516290717,3.555352878552224,0.5256410256410257,0.46773669878508584,0.5954617988394584,0.04278058653296095,0.035770234981312085,0.05142933138496626,41.441481249999995,41.0318746875,41.896735156249996,0.011458333333333333,0.005208333333333333,0.018229166666666668,0.01875,0.0075455729166666674,0.03177083333333333,0.0,0.0,0.0
boundary_alpha_mid_unlisted_rbsp,alpha_mid_unlisted,rbsp,0.1,20,80,9,0.033700097139550265,0.020732331000434024,0.04801964886377728,0.046525327798816865,0.044025061012958965,0.04888083759372306,3.655774721024133,3.573874486585101,3.7372473633797703,0.36324786324786323,0.3117224880382775,0.4192139737991266,0.029589640311250838,0.02395186498758495,0.03544350359877756,347.59923749999996,346.73918140624994,348.35097234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boundary_alpha_outside_high_bsp,alpha_outside_high,bsp,0.1,20,80,0,0.11427499793320103,0.09198663620721725,0.1328673158352968,0.1185739371941467,0.11194755722481946,0.12500892627739174,2.8893205643782083,2.816694552980432,2.9685429851315304,0.5,0.45167184130289284,0.5492619510164435,0.07560097125095105,0.06845918171214578,0.08286273868740075,40.765075,40.680119375000004,40.85837515625,0.18333333333333332,0.15831380208333332,0.209375,0.50078125,0.4395833333333333,0.55861328125,0.0,0.0,0.0
boundary_alpha_outside_high_rbsp,alpha_outside_high,rbsp,0.1,20,80,9,0.07275807084986771,0.0508782457139757,0.09542274828714038,0.0802891167474985,0.07732478060468312,0.08321620234328717,3.1357516871833235,3.081645783556898,3.1955060941609097,0.4036697247706422,0.349994635193133,0.4550164559004922,0.06136955305343704,0.054042907492940266,0.06880392975257466,342.62681875,342.10173499999996,343.26371421874995,0.06927083333333334,0.05702473958333333,0.08307942708333332,0.14557291666666666,0.11483072916666666,0.17839843749999998,0.0,0.0,0.0
boundary_move_mid_unlisted_bsp,move_mid_unlisted,bsp,0.1,20,80,0,0.06273197751322751,0.04882475553643766,0.07670319908182456,0.059968695117547766,0.05726760927979435,0.06271197454740479,3.47605750452063,3.3827690345689105,3.5537230464936345,0.5441696113074205,0.4964749896437448,0.5865747938751472,0.053391841450947955,0.0460182968372192,0.06178756022274886,40.821675,40.652153281249994,41.054266874999996,0.006510416666666667,0.0036458333333333334,0.010162760416666661,0.008072916666666667,0.004166666666666667,0.013808593749999994,0.0,0.0,0.0
boundary_move_mid_unlisted_rbsp,move_mid_unlisted,rbsp,0.1,20,80,9,0.03719564318783068,0.026667307438926088,0.049069902304997526,0.046545542787393826,0.04474743600986491,0.0486392355585406,3.6310654627906573,3.582450007005686,3.6818133625499283,0.36395759717314485,0.31639083059210527,0.41668046357615895,0.03561898642322564,0.02976905870424926,0.04182354772805114,341.75780625,341.39047968750003,342.152659375,0.0005208333333333333,0.0,0.0015625,0.0005208333333333333,0.0,0.0015625,0.0,0.0,0.0
boundary_move_outside_high_bsp,move_outside_high,bsp,0.1,20,80,0,0.04035995887070106,0.029827139072317297,0.05087210648148147,0.049721280711002055,0.0474669467583773,0.05230022652711522,3.677594829482378,3.6297003570604045,3.733073484223069,0.5555555555555556,0.5070351161020175,0.6050170937258644,0.05553953091919102,0.04815860870442661,0.06212666683781505,40.6704375,40.607405468749995,40.73778125,0.006510416666666667,0.003125,0.010416666666666666,0.0109375,0.004680989583333334,0.017708333333333333,0.0,0.0,0.0
boundary_move_outside_high_rbsp,move_outside_high,rbsp,0.1,20,80,9,0.033528671668320104,0.024679286411830356,0.04289516453011326,0.04110685526620837,0.03968894051596209,0.042684113442824946,3.773060413170782,3.721377041834398,3.8282935586723794,0.3541666666666667,0.2945156902749442,0.4169875259358654,0.03535994213426324,0.029305043970329965,0.041602871998633856,342.28623749999997,341.8643553124999,342.68015140625,0.00026041666666666666,0.0,0.00078125,0.00026041666666666666,0.0,0.00078125,0.0,0.0,0.0
