condition,scenario,method,param,attack,side,n_clusters,n_trajectories,cap_violations,hit,hit_low,hit_high,error_cells,error_cells_low,error_cells_high,error_m,error_m_low,error_m_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,covered95,covered95_low,covered95_high,credible95,credible95_low,credible95_high,entropy,entropy_low,entropy_high,prior_hit,prior_hit_low,prior_hit_high,raw_completion,raw_completion_low,raw_completion_high,coverage,coverage_low,coverage_high,reward,reward_low,reward_high,latency_slots,latency_slots_low,latency_slots_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,ece,ece_low,ece_high,utility,utility_low,utility_high
static_fixed_none_1,static,none,1.0,fixed,8.0,20,80,0.0,0.3276904854034197,0.26386897009234195,0.3965043927951445,1.8563044407050175,1.638263884465899,2.0976934250232606,1856.304440705017,1638.2638844658993,2097.6934250232603,0.3164374544630518,0.26159684045309584,0.3721498986609585,2.181481928447842,1.948745532084156,2.4090398352504216,0.98125,0.9669205729166668,0.9927083333333332,19.96640625,17.736497395833332,22.64635416666666,3.1614670307765325,2.8629188934249554,3.4957232740724216,0.015625,0.015625,0.015625,0.09682689906961581,0.08472475307532071,0.10962736636550895,1.0,1.0,1.0,3.4625,3.025,3.95,1.0,1.0,1.0,2.2038749999999996,2.17804359375,2.22859703125,2.622540625,2.559432109375,2.6920584843749995,0.10113144875168072,0.08262964055269939,0.12160748121691395,1.0,1.0,1.0
static_fixed_random_0.15,static,random,0.15,fixed,8.0,20,80,0.0,0.048692740572842244,0.019490208196601473,0.08457443791764342,3.6317054796137294,3.380876796072915,3.928068470495527,3631.7054796137286,3380.876796072916,3928.068470495525,0.04772666508203134,0.03068452175613076,0.07108435138346227,3.790654324554206,3.6224156626132347,3.9451932690104656,0.9658854166666666,0.9413997395833331,0.9875065104166667,50.49973958333333,46.9031640625,53.7401953125,5.475119805440204,5.238812961333618,5.684945035424249,0.015625,0.015625,0.015625,0.015454417217102504,0.01053352295124483,0.020460005830212912,0.4291666666666666,0.31239583333333326,0.5376041666666665,0.55,0.375,0.725,1.0,1.0,1.0,2.1572625,2.142150625,2.1744614062499994,2.538819375,2.5143555468749996,2.5677632343749996,0.038793592048990355,0.027606260055886563,0.053820942980974465,0.1588447653429603,0.11454444935869085,0.20486548261390886
static_fixed_random_0.3,static,random,0.3,fixed,8.0,20,80,0.0,0.10921617986295185,0.07211070115346421,0.15160420323735904,3.1412146180592155,2.8999183569014786,3.398755934038855,3141.214618059216,2899.9183569014785,3398.7559340388552,0.10074659823072811,0.07329193730260412,0.1295183612873289,3.365357245856316,3.1940757487413016,3.5422418890847416,0.96015625,0.9348763020833334,0.9817773437499999,41.209375,38.274602864583336,44.23171875,4.873994647354241,4.63792222647979,5.1213241033496955,0.015625,0.015625,0.015625,0.030469392029107017,0.02476057265240448,0.03682620503157177,0.7375,0.6457291666666666,0.8209374999999998,1.0875,0.875,1.3125,1.0,1.0,1.0,2.1853749999999996,2.16273671875,2.2090626562500004,2.60486375,2.5446053281250003,2.67105240625,0.06768504609215703,0.0512160344944102,0.08812444756999059,0.3140794223826715,0.2551584171014124,0.38407190635451505
static_fixed_random_0.5,static,random,0.5,fixed,8.0,20,80,0.0,0.1690893236432438,0.11991124883353636,0.21808368107443535,2.7259793752102404,2.5038481255413108,2.9659139107011745,2725.9793752102405,2503.8481255413108,2965.913910701174,0.1569942071739999,0.1180635133707374,0.19130340784851688,3.01366208116752,2.8213442583281383,3.22546511049495,0.95859375,0.92837890625,0.9851627604166666,34.21119791666666,31.255253906249994,37.39689453124999,4.373422165499516,4.1078708200879674,4.681956792192731,0.015625,0.015625,0.015625,0.047720579724724224,0.03978349159442,0.05572026352231893,0.8791666666666667,0.8083333333333332,0.9458333333333332,1.7,1.425,1.975,1.0,1.0,1.0,2.1851875,2.1601350000000004,2.2106990625,2.6094406249999995,2.558597359375,2.6641123906249997,0.09378997478916949,0.07833768581012394,0.11058271804578465,0.49097472924187724,0.42306451612903223,0.5674813364259731
static_fixed_random_0.7,static,random,0.7,fixed,8.0,20,80,0.0,0.200327167581173,0.14046218592113557,0.25788654961210616,2.4202902694945356,2.1734473390630766,2.6718072881157227,2420.290269494535,2173.447339063076,2671.8072881157223,0.20208750952285012,0.15443060897828303,0.25077499571243095,2.7549069197596596,2.5159646329664986,2.9888745996353694,0.9770833333333332,0.9523372395833332,0.9947981770833334,28.644270833333337,25.546347656249996,31.753489583333334,3.983082427205018,3.6599064111105686,4.311774131036256,0.015625,0.015625,0.015625,0.06302048113932227,0.05399078459304019,0.07162446861422395,0.9583333333333333,0.9083333333333334,1.0,2.25,1.925,2.55,1.0,1.0,1.0,2.22585625,2.2063309375,2.24590015625,2.6405624999999997,2.597768624999999,2.6953826093749993,0.10232755460148572,0.08750081425340261,0.11774503070740333,0.6498194945848376,0.5816476031358437,0.7246776326665564
static_fixed_rate_2,static,rate,2.0,fixed,8.0,20,80,0.0,0.1970414710731863,0.13616882301867073,0.2663531958529146,2.4989782853672344,2.2478515858909818,2.765070118098682,2498.9782853672345,2247.8515858909823,2765.0701180986825,0.19286682805862165,0.1399390575770595,0.25501081441436957,2.8437892773920437,2.571998225553736,3.1018431223514202,0.9588541666666668,0.9328125,0.9817838541666667,29.147395833333338,25.97755208333333,32.3962890625,4.022395969924701,3.673492279505996,4.356966097147548,0.015625,0.015625,0.015625,0.055656398516397,0.046250324063126985,0.06559845913544891,0.8833333333333332,0.8125,0.95,1.975,1.6496875,2.3378124999999996,1.0,1.0,1.0,2.281275,2.2557689062499997,2.30626203125,2.795495625,2.678983328125,2.9579640156249996,0.057208487183409575,0.044815018385030006,0.07092736839823566,0.5703971119133574,0.505529187800712,0.6328759043724442
static_fixed_rate_4,static,rate,4.0,fixed,8.0,20,80,0.0,0.13082556803228446,0.08192106502404684,0.19383154026809965,2.9022106781642,2.652750717599222,3.1710792569467925,2902.2106781642005,2652.7507175992214,3171.079256946792,0.1257441303747605,0.08211505640375774,0.18307807372526225,3.2132009140980147,2.9353804007526305,3.4689295721158437,0.9812500000000002,0.9635416666666667,0.9947916666666666,38.39791666666666,34.66393229166667,42.18067708333333,4.674229169558659,4.294585095354275,5.00464991616387,0.015625,0.015625,0.015625,0.029022534254076672,0.02307127491526675,0.03539566341420737,0.65,0.5708333333333333,0.725,1.025,0.8125,1.2625,1.0,1.0,1.0,2.30885625,2.2901237500000002,2.3263123437500006,2.7059112499999998,2.6707630625000003,2.7428614531249997,0.024024456609167587,0.018149573785177377,0.030750987731963244,0.296028880866426,0.2465277777777778,0.34539774217520547
static_fixed_rate_8,static,rate,8.0,fixed,8.0,20,80,0.0,0.09700981313656885,0.05453790732551116,0.1486400235304871,3.2665041936702446,3.0070857865691183,3.524438190025918,3266.504193670244,3007.0857865691178,3524.4381900259177,0.09216478883734294,0.050665118181669105,0.14208762045800719,3.502555926068331,3.2725354609404436,3.713281097871221,0.9854166666666668,0.9666666666666668,1.0,45.67916666666666,41.73192708333333,49.454531249999995,5.131761342254181,4.803401876348562,5.434940299398257,0.015625,0.015625,0.015625,0.013915684920814663,0.009223695921942889,0.01928606315239763,0.4125,0.3082291666666666,0.5208333333333333,0.5,0.3375,0.7,1.0,1.0,1.0,2.25264375,2.2316176562499996,2.27263390625,2.6748012500000002,2.642648890625,2.71236828125,0.011280978591697416,0.006774712684234961,0.016770182887241355,0.1444043321299639,0.10107611796902294,0.1894813676527084
static_fixed_coarse_2,static,coarse,2.0,fixed,8.0,20,80,0.0,0.08949329605579606,0.07741645762684582,0.10325765153267594,2.6293105894889233,2.4048824092680943,2.855955892618569,2629.310589488922,2404.8824092680925,2855.9558926185678,0.08655592789248528,0.07583022339545345,0.0988230457484399,3.0849099282477175,2.9074414206304597,3.2572068859195342,0.9666666666666668,0.9385351562500002,0.9869791666666667,32.208072916666666,29.230371093750005,34.95482421875,4.491569607979886,4.276272386669737,4.682991744982948,0.015625,0.015625,0.015625,0.054363756589425084,0.045232752170798286,0.06342806821382842,0.8791666666666667,0.8041666666666666,0.9541666666666666,1.925,1.6125,2.2378124999999995,1.0,1.0,1.0,2.25285625,2.2289060937500005,2.2823057812500003,2.7332925,2.6535789375,2.8368930156249994,0.022468420103993077,0.018226702477505064,0.02734699780429745,0.555956678700361,0.4740393370970679,0.6448300849575211
static_fixed_coarse_4,static,coarse,4.0,fixed,8.0,20,80,0.0,0.02794731987847222,0.024422675238715275,0.03137301974826388,3.375792839287224,3.1908051817564975,3.5612465803176554,3375.7928392872245,3190.8051817564983,3561.246580317657,0.02747180661266522,0.02524230971803266,0.029700632888922187,3.8262047508227353,3.7266673993392576,3.9381578573443305,0.9372395833333333,0.88748046875,0.9770898437499999,49.47447916666667,47.11348958333333,51.938665364583336,5.535820818960562,5.440541104531812,5.635822672010193,0.015625,0.015625,0.015625,0.01900215295541937,0.014520497775414434,0.024166988881955707,0.525,0.4125,0.6334374999999999,0.675,0.5125,0.8625,1.0,1.0,1.0,2.1250375,2.10939296875,2.143275156249999,2.5574850000000002,2.52415790625,2.5921140781249994,0.005864439682034533,0.004623741556187592,0.007225418284153769,0.19494584837545126,0.15189504014185096,0.24427696148768868
