condition,scenario,method,param,attack,side,n_clusters,n_trajectories,hit,hit_low,hit_high,error_cells,error_cells_low,error_cells_high,error_m,error_m_low,error_m_high,peak,peak_low,peak_high,logloss,logloss_low,logloss_high,covered95,covered95_low,covered95_high,credible95,credible95_low,credible95_high,entropy,entropy_low,entropy_high,prior_hit,prior_hit_low,prior_hit_high,raw_completion,raw_completion_low,raw_completion_high,coverage,coverage_low,coverage_high,reward,reward_low,reward_high,latency_slots,latency_slots_low,latency_slots_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,ece,ece_low,ece_high,utility,utility_low,utility_high
static_adaptive_privic_0.1,static,privic,0.1,adaptive,8.0,20,80,0.43107770835774,0.3772289143644616,0.4842080874188454,1.4672269799071196,1.2819942054656408,1.665393410297431,1467.2269799071196,1281.994205465641,1665.3934102974313,0.42767070471180474,0.395675620763583,0.4593973090596646,1.9313805821527055,1.7321007340972738,2.1431966225109664,0.9643229166666668,0.9413997395833331,0.9838671875000001,17.31614583333333,15.685572916666667,18.902135416666663,2.800762235167542,2.6164782806546327,2.9741238704971065,0.015625,0.015625,0.015625,0.062003209605203925,0.05074442372577499,0.07444175603311276,0.9083333333333332,0.825,0.975,2.225,1.825,2.675,1.0,1.0,1.0,2.0958312500000003,2.0713934374999994,2.1224315625000005,2.429264375,2.342703671875,2.5283962812499996,0.1578257989134267,0.14092169771078877,0.17618739760862484,0.6425992779783394,0.5789379699248121,0.6993263251406573
static_adaptive_privic_0.3,static,privic,0.3,adaptive,8.0,20,80,0.42309267332979905,0.36531772733817824,0.48147642216861397,1.439007329750226,1.2413041317454705,1.6568754003403479,1439.007329750226,1241.3041317454708,1656.8754003403476,0.42301005204398,0.38685782177309824,0.4561773480769985,1.9772118293434424,1.7598642527871955,2.232251305317519,0.9638020833333332,0.9361979166666666,0.9846419270833333,17.515625,15.88842447916667,19.126321614583333,2.8172368090893998,2.6226312422602156,3.0098933372980485,0.015625,0.015625,0.015625,0.060919836739928776,0.049888414445867245,0.07272735761384769,0.9083333333333332,0.825,0.975,2.1875,1.8,2.6003125,1.0,1.0,1.0,2.0342124999999998,2.0297809374999995,2.0383756249999996,2.2020743749999996,2.188228390625001,2.2171457968749997,0.18424171425539115,0.16291868317845584,0.20701887942631766,0.631768953068592,0.5724517848079851,0.6864777491984073
static_adaptive_privic_1,static,privic,1.0,adaptive,8.0,20,80,0.38977503942956304,0.34005703446987134,0.4409610343429581,1.5935270373606751,1.4032226431133057,1.77988622152293,1593.5270373606752,1403.222643113306,1779.8862215229306,0.3688251304946845,0.34075689983789714,0.40232250952945287,2.1033555682864393,1.9308654856637304,2.2745921851744377,0.9572916666666667,0.9296809895833333,0.98203125,17.81015625,16.693404947916665,18.969804687499998,3.0309594546496363,2.872071541230363,3.178761253073776,0.015625,0.015625,0.015625,0.06726190685006003,0.058351880820604884,0.07633681911784274,0.9458333333333334,0.8998958333333333,0.9875,2.4125,2.1,2.7256249999999995,1.0,1.0,1.0,2.0413687499999997,2.0377242187499998,2.0448339062500005,2.2263068749999997,2.2075998125000003,2.2487737812499997,0.21619926620444635,0.19699915788103597,0.23821565648107942,0.6967509025270758,0.625396986970684,0.7626519314854187
static_adaptive_privic_3,static,privic,3.0,adaptive,8.0,20,80,0.4932985364029623,0.4286517911578704,0.5485369102757153,1.2860944158096435,1.1122545221416003,1.4887652864963032,1286.0944158096438,1112.2545221416003,1488.7652864963027,0.4771213663645055,0.4319888671963878,0.5154881718986584,1.7706488634885027,1.576652335881516,1.9926371569941288,0.96875,0.94765625,0.9864648437500001,15.051302083333331,13.361555989583334,16.8212109375,2.524990896032362,2.3142828142212983,2.763110191313742,0.015625,0.015625,0.015625,0.08499119753499944,0.07498553840146997,0.0951232510073701,1.0,1.0,1.0,3.05,2.675,3.425,1.0,1.0,1.0,2.03346875,2.02751875,2.03884375,2.20606625,2.1911522656249995,2.22262178125,0.17728007709467808,0.15885985206170747,0.19835287255434506,0.8808664259927798,0.8333333333333334,0.9271274450494051
static_adaptive_privic_10,static,privic,10.0,adaptive,8.0,20,80,0.48851236147147803,0.42179275715335623,0.5507029912825698,1.2929697932154611,1.0817480502994041,1.5399043833386286,1292.9697932154613,1081.7480502994042,1539.9043833386286,0.49919865196645646,0.4537171578176589,0.5399643286088391,1.7158559376098208,1.5245879305949939,1.9295646870816177,0.9755208333333334,0.9518098958333334,0.9940104166666668,15.166145833333335,13.38390625,17.16583333333333,2.4223409509098577,2.208746212702091,2.6731797577665017,0.015625,0.015625,0.015625,0.0903511379638737,0.07907553955352159,0.10143828151317397,1.0,1.0,1.0,3.2375,2.8246875,3.6506249999999993,1.0,1.0,1.0,2.04895625,2.0432621875,2.0552242187500003,2.246059375,2.2249700312500007,2.270941390625,0.16234082745024322,0.14580028228292127,0.18187776128213953,0.9350180505415162,0.9047576981322565,0.9652605845904816
walk_adaptive_pml_0.025,walk,pml,0.025,adaptive,8.0,20,80,0.015625,0.015625,0.015625,4.052153157646365,3.9694207426539743,4.135233745214945,4052.153157646363,3969.4207426539733,4135.233745214944,0.015625,0.015625,0.015625,4.158883083359674,4.158883083359674,4.158883083359674,0.9567708333333333,0.9304622395833332,0.97787109375,61.0,61.0,61.0,6.0,6.0,6.0,0.015625,0.015625,0.015625,0.003288782282684722,0.0016135567732366513,0.0052581212276334235,0.061875,0.02708333333333333,0.10520833333333332,0.125,0.0625,0.2,1.0,1.0,1.0,12.095562500000003,12.075182187500001,12.1164125,12.723976875,12.663341203125,12.801789453125002,0.0,0.0,0.0,0.03571428571428571,0.017179198479997184,0.05715233881163084
walk_adaptive_pml_0.05,walk,pml,0.05,adaptive,8.0,20,80,0.015625,0.015625,0.015625,4.052153157646365,3.9694207426539743,4.135233745214945,4052.153157646363,3969.4207426539733,4135.233745214944,0.015625,0.015625,0.015625,4.158883083359674,4.158883083359674,4.158883083359674,0.9567708333333333,0.9304622395833332,0.97787109375,61.0,61.0,61.0,6.0,6.0,6.0,0.015625,0.015625,0.015625,0.003288782282684722,0.0016135567732366513,0.0052581212276334235,0.061875,0.02708333333333333,0.10520833333333332,0.125,0.0625,0.2,1.0,1.0,1.0,12.142956250000001,12.115306875,12.17217,12.88122375,12.746705515625,13.048390000000001,0.0,0.0,0.0,0.03571428571428571,0.017179198479997184,0.05715233881163084
walk_adaptive_pml_0.1,walk,pml,0.1,adaptive,8.0,20,80,0.015625,0.015625,0.015625,4.052153157646365,3.9694207426539743,4.135233745214945,4052.153157646363,3969.4207426539733,4135.233745214944,0.015625,0.015625,0.015625,4.158883083359674,4.158883083359674,4.158883083359674,0.9567708333333333,0.9304622395833332,0.97787109375,61.0,61.0,61.0,6.0,6.0,6.0,0.015625,0.015625,0.015625,0.003288782282684722,0.0016135567732366513,0.0052581212276334235,0.061875,0.02708333333333333,0.10520833333333332,0.125,0.0625,0.2,1.0,1.0,1.0,12.433006250000002,12.266311093750003,12.592182187500004,13.293896875000002,12.982178375,13.614489062499997,0.0,0.0,0.0,0.03571428571428571,0.017179198479997184,0.05715233881163084
walk_adaptive_pml_0.25,walk,pml,0.25,adaptive,8.0,20,80,0.02374651227678571,0.016137834821428568,0.033655092269655254,3.999189298735427,3.8158428408900495,4.204719529694557,3999.189298735428,3815.84284089005,4204.719529694557,0.025806876689718143,0.02470888408421092,0.026996138925193598,4.058124280717314,4.010913440473542,4.107531698416862,0.9484375,0.9275976562499998,0.9669270833333332,55.82786458333334,54.7551953125,56.7921875,5.8562183174199784,5.819087971437286,5.8862756728890835,0.015625,0.015625,0.015625,0.011494913273741855,0.008433706081553648,0.014867953582642033,0.17312500000000003,0.12666666666666665,0.22583854166666667,0.425,0.3125,0.55,1.0,1.0,1.0,12.6390875,12.50051734375,12.79014828125,14.13943,13.650016499999996,14.640140124999997,0.02569355598645382,0.020737228157940144,0.03237072974107304,0.12142857142857143,0.0897846973841083,0.15565097276264592
walk_adaptive_pml_0.5,walk,pml,0.5,adaptive,8.0,20,80,0.07618759558945107,0.0563006078326513,0.097019455036789,2.7124795214281923,2.4979894540721017,2.932870951815226,2712.479521428191,2497.989454072101,2932.8709518152255,0.07772901000999202,0.07189969607731271,0.08345541957099746,3.4175953899999376,3.307404299980179,3.5219767649336857,0.9505208333333334,0.9286328124999998,0.9713541666666666,35.235156249999996,34.04578125,36.57461588541667,4.942053675304968,4.871939579075554,5.012688310657113,0.015625,0.015625,0.015625,0.03896275339222908,0.03044404532754647,0.0485899734149669,0.4743055555555554,0.38152256944444446,0.5689687499999999,1.4,1.0875,1.75,1.0,1.0,1.0,12.196887500000003,12.172914375,12.224956562500001,12.990298125000004,12.86091490625,13.160214734375,0.08464855731329775,0.07472529455137415,0.09705127702101855,0.39999999999999997,0.33333333333333337,0.4691074086056293
