hit,error_cells,peak,logloss,covered95,credible95,entropy,ece,error_m,seed,user,scenario,condition,method,param,attack,side,prior_hit,legitimate,opportunities,complete,reports,utility,raw_completion,coverage,reward,latency_slots,gate_us_p50,gate_us_p95,cap_violations,attacker_local_cap_violations,attacker_absolute_cap_violations,robust_model_count,alpha_true,alpha_model,move_model
0.023524305555555555,2.4935212677667,0.06225863725290115,3.1409958832146905,1.0,35.0625,4.968457538710694,0.038734331697345595,2493.521267766699,4000,0,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,35,5,3,6,0.6,0.08571428571428572,0.6666666666666666,3,1.0,43.6245,58.406299999999995,0,0,0,0,0.5,0.648,0.3
0.0023654513888888887,3.655433312494145,0.05573436159623605,3.6293622112280968,0.9791666666666666,39.75,5.210976507860411,0.053368910207347166,3655.4333124941436,4000,1,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,34,2,1,2,0.5,0.029411764705882353,0.5,1,1.0,42.558,58.96204999999999,0,0,0,0,0.5,0.648,0.3
0.0013020833333333333,2.5580933854341117,0.062064029487487966,3.579736043849183,0.9583333333333334,34.395833333333336,4.9838046684441375,0.06076194615415464,2558.0933854341124,4000,2,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,39,1,0,4,0.0,0.0,0.0,0,1.0,42.2525,51.632999999999996,0,0,0,0,0.5,0.648,0.3
0.0020616319444444445,2.5252627806552717,0.06557936984664055,3.185780766585497,1.0,38.833333333333336,5.168375115675363,0.0635177379021961,2525.2627806552714,4000,3,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,39,2,1,2,0.5,0.02564102564102564,0.5,1,1.0,41.967,57.65275,0,0,0,0,0.5,0.648,0.3
0.0632595486111111,2.8752114590115028,0.04473627028768872,3.4869862202359503,1.0,40.479166666666664,5.3150825721984,0.018523278323422387,2875.2114590115016,4001,0,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,41,2,2,2,1.0,0.04878048780487805,1.0,2,1.0,41.510999999999996,63.06169999999999,0,0,0,0,0.5,0.648,0.3
0.04348958333333333,3.089616981682935,0.055989754443974464,3.6569100324118207,1.0,41.333333333333336,5.235205167039797,0.01250017111064113,3089.616981682935,4001,1,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,32,0,0,2,nan,0.0,nan,0,1.0,43.204,61.07765,0,0,0,0,0.5,0.648,0.3
0.030164930555555552,2.2873079370847447,0.061346642549560064,3.4654748637276733,1.0,33.8125,5.010561264307327,0.031181711994004508,2287.3079370847468,4001,2,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,37,4,2,5,0.5,0.05405405405405406,0.5,2,1.0,42.1075,55.60534999999999,0,0,0,0,0.5,0.648,0.3
0.005295138888888888,2.816405073704631,0.07126798268964596,3.710497088636748,0.875,28.8125,4.71365488669555,0.06597284380075707,2816.405073704631,4001,3,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,38,4,1,6,0.25,0.02631578947368421,0.3333333333333333,1,1.0,42.0275,62.57904999999999,0,1,1,0,0.5,0.648,0.3
0.0302734375,3.0206870600280955,0.06690522310782498,3.171286802818688,1.0,28.791666666666668,4.793430131098236,0.03663178560782498,3020.687060028095,4002,0,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,37,3,2,4,0.6666666666666666,0.05405405405405406,0.5,2,1.0,43.7295,64.2673,0,1,1,0,0.5,0.648,0.3
0.07376302083333333,4.325778441576656,0.07240685110700082,3.191066941858572,0.8958333333333334,26.333333333333332,4.590818363431009,0.0013561697263325123,4325.778441576656,4002,1,walk,boundary_alpha_mid_unlisted_bsp,bsp,0.1,adaptive,8,0.015625,31,0,0,7,nan,0.0,nan,0,1.0,45.2675,54.034749999999995,0,0,0,0,0.5,0.648,0.3
